Ref,Val,Package,PosX,PosY,Rot,Side
"ANT1","Antenna","ANT_AN5129",30.683000,13.131000,0.000000,top
"C1","10pF/50V","C_0402",9.220000,11.948000,-90.000000,top
"C2","10pF/50V","C_0402",27.432000,12.970000,-90.000000,top
"C3","10uF/50V","C_0402",14.300000,6.383000,90.000000,top
"C4","10pF/50V","C_0402",11.176000,7.145000,90.000000,top
"C5","10pF/50V","C_0402",11.176000,9.050000,90.000000,top
"C6","10uF/6.3V","C_0402",19.034600,5.262900,90.000000,top
"C7","10uF/6.3V","C_0402",20.126800,5.265300,90.000000,top
"C8","0.1uF/50V","C_0402",21.219000,5.265300,90.000000,top
"C9","1uF/10V X7R","C_0402",19.888000,8.946000,90.000000,top
"C10","2.2uF/6.3V","C_0402",21.920000,8.946000,-90.000000,top
"C11","2.2uF/6.3V","C_0402",31.318000,10.066000,180.000000,top
"C12","0.1uF/25V","C_0402",22.936000,8.946000,-90.000000,top
"C13","2.2uF/6.3V","C_0402",22.428000,10.343000,0.000000,top
"C14","2.2uF/6.3V","C_0402",22.428000,11.359000,0.000000,top
"C15","0.1uF/50V","C_0402",34.290000,8.144000,90.000000,top
"D1","ESD0402TS050D03","C_0402",10.160000,7.128000,90.000000,top
"D2","ESD0402TS050D03","C_0402",10.160000,9.050000,90.000000,top
"J1","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",36.691200,3.572000,180.000000,top
"J2","TYPE-C","YH-036-013A",5.489000,11.412000,-90.000000,top
"R1","100K","R_0402",12.268000,6.383000,90.000000,top
"R2","10K","R_0402",26.416000,12.970000,90.000000,top
"R3","10R","R_0402",13.284000,6.383000,90.000000,top
"R4","10R","R_0402",9.144000,7.128000,-90.000000,top
"R5","10R","R_0402",9.144000,9.050000,90.000000,top
"R6","10K","R_0402",26.515000,5.604000,0.000000,top
"R7","10K","R_0402",10.744000,11.463000,180.000000,top
"R8","10K","R_0402",12.192000,9.050000,90.000000,top
"R9","47R","R_0402",20.904000,8.946000,90.000000,top
"TP1","3.3V","TestPoint_1.2mm",19.796600,7.075900,0.000000,top
"TP2","GND","TestPoint_1.2mm",9.220000,13.986000,90.000000,top
"TP3","RX","TestPoint_1.2mm",22.936000,7.128000,0.000000,top
"TP4","TX","TestPoint_1.2mm",24.511000,5.858000,0.000000,top
"TP5","BOOT","TestPoint_1.2mm",29.591000,6.239000,0.000000,top
"U1","ME6203A33M3G","SOT-23",16.713000,6.256000,90.000000,top
"U2","CH224K","ESSOP10",16.002000,11.447000,180.000000,top
"U3","CH571F","QFN-28-1EP_4x4mm_P0.4mm_EP2.8x2.8mm",26.619000,9.177000,0.000000,top
"Y1","32MHz","Crystal_SMD_2016-4Pin_2.0x1.6mm",31.445000,8.161000,90.000000,top
